"","Gene","SLE004","SLE005","SLE006","SLE007","SLE008"
"1","5S_rRNA",0,0,1,0,0
"2","5_8S_rRNA",1,0,0,0,0
"3","7SK",0,0,0,0,0
"4","A1BG",0,0,0,0,1
"5","A1BG-AS1",12,10,1,5,3
"6","A1CF",0,0,0,1,1
"7","A2M",25,0,5,1,0
"8","A2M-AS1",6,3,3,4,1
"9","A2ML1",0,0,0,0,0
"10","A2ML1-AS1",0,0,0,0,0
"11","A2ML1-AS2",0,0,0,0,0
"12","A2MP1",19,3,12,1,5
"13","A3GALT2",3,1,0,1,0
"14","A4GALT",1,1,0,1,0
"15","A4GNT",1,1,0,0,0
"16","AA06",0,0,0,0,0
"17","AAAS",188,145,127,110,162
"18","AACS",79,53,62,41,51
"19","AACSP1",0,0,0,0,1
"20","AADAC",0,0,0,0,0
"21","AADACL2",0,0,0,0,0
"22","AADACL2-AS1",0,0,0,0,0
"23","AADACL3",0,0,0,0,0
"24","AADACL4",0,0,0,0,0
"25","AADACP1",0,0,0,0,0
"26","AADAT",0,1,0,0,0
"27","AAED1",93,45,67,34,54
"28","AAGAB",261,174,324,166,132
"29","AAK1",740,449,522,436,208
"30","AAMDC",10,4,11,3,3
"31","AAMP",480,349,402,302,386
"32","AANAT",7,0,7,6,2
"33","AAR2",191,140,171,128,130
"34","AARD",0,0,1,0,0
"35","AARS",255,211,250,212,160
"36","AARS2",80,56,64,63,48
"37","AARSD1",9,7,3,3,8
"38","AARSP1",0,0,0,0,0
"39","AASDH",104,50,82,56,46
"40","AASDHPPT",193,119,177,117,71
"41","AASS",6,8,3,6,3
"42","AATBC",142,88,143,79,111
"43","AATF",459,313,402,282,316
"44","AATK",246,544,353,414,191
"45","AATK-AS1",0,0,0,0,0
"46","AB015752.3",0,0,0,0,0
"47","AB019438.66",1,0,0,0,0
"48","AB019440.50",0,0,0,0,0
"49","AB019441.29",10,0,7,0,3
"50","ABALON",3,7,20,14,22
"51","ABAT",241,195,230,146,88
"52","ABBA01037345.1",0,0,0,0,0
"53","ABBA01037346.1",0,0,0,0,0
"54","ABBA01037349.1",0,0,0,0,0
"55","ABC11-4932300O16.1",0,0,0,0,0
"56","ABC12-47043100G14.2",0,0,0,0,0
"57","ABC12-47964100C23.1",0,0,0,0,0
"58","ABC12-49244600F4.4",0,0,0,0,0
"59","ABC7-42391500H16.4",0,0,0,0,0
"60","ABC7-42404400C24.1",0,0,0,0,0
"61","ABC7-42418200C9.1",0,0,0,0,0
"62","ABC7-481722F1.1",1,0,0,0,0
"63","ABC7-481722F1.2",0,0,0,0,0
"64","ABCA1",771,301,369,178,40
"65","ABCA10",6,1,6,2,2
"66","ABCA11P",1,2,0,2,0
"67","ABCA12",1,0,0,1,0
"68","ABCA13",14,5,33,1,3
"69","ABCA17P",2,2,0,2,0
"70","ABCA2",984,743,638,631,417
"71","ABCA3",37,43,45,59,51
"72","ABCA4",0,0,0,0,0
"73","ABCA5",131,74,102,78,33
"74","ABCA6",2,2,5,1,0
"75","ABCA7",1494,1578,898,1095,850
"76","ABCA8",0,1,0,0,0
"77","ABCA9",0,3,2,1,3
"78","ABCA9-AS1",0,0,0,0,0
"79","ABCB1",108,117,92,107,48
"80","ABCB10",118,76,120,114,67
"81","ABCB10P1",0,0,0,0,0
"82","ABCB10P3",0,0,0,0,0
"83","ABCB10P4",0,0,0,0,0
"84","ABCB11",0,0,0,1,0
"85","ABCB4",10,8,3,15,12
"86","ABCB5",0,0,1,0,0
"87","ABCB6",4,2,4,2,4
"88","ABCB7",142,91,140,95,75
"89","ABCB8",174,132,113,117,101
"90","ABCB9",16,4,4,11,8
"91","ABCC1",501,386,413,424,314
"92","ABCC10",250,179,178,155,126
"93","ABCC11",1,0,0,1,0
"94","ABCC12",0,0,0,0,0
"95","ABCC13",10,27,51,28,46
"96","ABCC2",38,13,19,11,9
"97","ABCC3",92,171,62,194,171
"98","ABCC4",78,63,105,140,71
"99","ABCC5",387,244,218,207,106
"100","ABCC5-AS1",0,0,0,0,0
"101","ABCC6",23,15,8,8,7
"102","ABCC6P1",0,0,0,0,0
"103","ABCC6P2",0,0,0,0,0
"104","ABCC8",0,0,0,0,0
"105","ABCC9",0,0,0,0,0
"106","ABCD1",163,131,116,121,138
"107","ABCD1P2",0,1,0,0,0
"108","ABCD1P3",0,0,0,0,0
"109","ABCD1P4",0,0,0,0,0
"110","ABCD1P5",0,0,0,0,0
"111","ABCD2",106,88,127,75,36
"112","ABCD3",180,126,193,126,78
"113","ABCD4",269,187,149,192,129
"114","ABCE1",254,119,171,137,77
"115","ABCF1",466,340,343,283,300
"116","ABCF2",248,181,207,179,158
"117","ABCF2P1",0,0,0,0,0
"118","ABCF2P2",0,0,0,0,0
"119","ABCF3",327,292,273,214,189
"120","ABCG1",341,154,159,186,65
"121","ABCG2",11,4,8,8,7
"122","ABCG4",0,0,0,0,0
"123","ABCG5",0,0,0,0,0
"124","ABCG8",0,0,0,0,0
"125","ABHD1",6,9,1,2,1
"126","ABHD10",173,101,150,86,104
"127","ABHD11",49,39,48,40,46
"128","ABHD11-AS1",0,0,1,1,2
"129","ABHD12",127,96,105,90,127
"130","ABHD12B",20,1,8,1,3
"131","ABHD13",300,171,262,156,100
"132","ABHD14A",48,48,38,28,22
"133","ABHD14A-ACY1",1,0,0,0,0
"134","ABHD14B",258,221,194,223,198
"135","ABHD15",177,110,113,126,118
"136","ABHD15-AS1",0,0,0,0,0
"137","ABHD16A",35,32,26,25,16
"138","ABHD16B",0,0,0,0,0
"139","ABHD17A",465,384,322,329,250
"140","ABHD17AP1",0,1,1,0,1
"141","ABHD17AP3",0,0,0,1,0
"142","ABHD17AP4",0,0,0,0,1
"143","ABHD17AP5",3,2,3,7,0
"144","ABHD17AP6",1,0,2,0,0
"145","ABHD17AP7",0,0,0,0,0
"146","ABHD17AP8",0,0,0,0,0
"147","ABHD17AP9",0,0,0,0,0
"148","ABHD17B",139,64,86,72,69
"149","ABHD17C",40,20,21,20,15
"150","ABHD18",178,58,97,74,42
"151","ABHD2",1635,1390,2032,1569,557
"152","ABHD3",645,429,419,341,189
"153","ABHD4",284,197,209,179,144
"154","ABHD5",365,260,294,272,123
"155","ABHD6",56,39,51,39,60
"156","ABHD8",35,48,35,49,65
"157","ABI1",967,536,706,514,331
"158","ABI2",125,92,96,83,37
"159","ABI3",430,334,525,290,327
"160","ABI3BP",0,1,1,0,2
"161","ABL1",196,158,144,153,122
"162","ABL2",196,110,135,82,46
"163","ABLIM1",747,608,367,836,331
"164","ABLIM2",3,3,3,1,2
"165","ABLIM3",93,77,60,122,168
"166","ABO",37,19,20,41,27
"167","ABR",1161,918,915,806,618
"168","ABRA",0,0,0,0,0
"169","ABRACL",289,192,231,174,169
"170","ABT1",287,263,252,204,180
"171","ABT1P1",0,0,0,0,0
"172","ABTB1",3525,4134,2936,3140,1972
"173","ABTB2",32,20,15,13,16
"174","AC000003.1",0,0,0,0,0
"175","AC000029.1",0,0,0,0,0
"176","AC000032.2",0,0,0,0,0
"177","AC000035.3",0,0,0,0,0
"178","AC000036.4",0,0,0,0,0
"179","AC000041.10",0,0,0,0,0
"180","AC000041.8",0,0,0,0,0
"181","AC000067.1",0,0,0,0,0
"182","AC000068.10",0,0,1,1,0
"183","AC000068.5",3,1,1,1,0
"184","AC000068.9",0,0,0,0,0
"185","AC000077.2",0,0,0,0,0
"186","AC000078.5",7,1,1,5,0
"187","AC000081.2",0,0,0,0,1
"188","AC000089.3",1,1,0,0,0
"189","AC000095.11",0,0,0,0,0
"190","AC000095.9",0,0,0,0,0
"191","AC000099.1",0,0,0,0,0
"192","AC000111.3",0,0,0,0,0
"193","AC000111.4",0,0,0,0,0
"194","AC000111.5",0,0,0,0,0
"195","AC000111.6",0,0,0,0,0
"196","AC000120.7",1,0,1,0,0
"197","AC000123.2",52,17,24,25,5
"198","AC000123.3",7,0,5,0,2
"199","AC000123.4",8,3,3,1,6
"200","AC000124.1",0,0,1,0,0
"201","AC000354.1",0,0,0,0,0
"202","AC000362.1",0,0,0,0,0
"203","AC000367.1",0,0,0,0,0
"204","AC000370.2",0,0,0,0,0
"205","AC000374.1",0,0,0,0,0
"206","AC000403.1",0,0,0,0,0
"207","AC000403.4",4,6,2,1,2
"208","AC001226.7",0,0,0,1,0
"209","AC002044.1",0,0,0,0,0
"210","AC002044.3",0,0,0,0,0
"211","AC002044.4",3,0,0,0,0
"212","AC002056.3",0,0,0,0,0
"213","AC002056.5",0,0,0,0,0
"214","AC002059.10",0,0,0,1,0
"215","AC002064.4",0,0,0,0,0
"216","AC002064.5",0,0,0,0,0
"217","AC002064.7",0,0,0,0,0
"218","AC002066.1",0,0,0,0,0
"219","AC002069.5",1,0,0,0,0
"220","AC002069.6",0,0,0,0,0
"221","AC002070.1",0,0,0,0,0
"222","AC002072.1",0,0,0,0,0
"223","AC002075.3",0,0,0,0,0
"224","AC002075.4",4,1,2,1,6
"225","AC002076.10",0,0,0,0,0
"226","AC002115.5",0,0,0,0,0
"227","AC002115.9",0,0,0,0,0
"228","AC002116.7",0,1,1,0,2
"229","AC002116.8",0,0,0,0,0
"230","AC002117.1",2,3,0,0,1
"231","AC002127.2",0,0,0,0,0
"232","AC002127.4",0,0,0,0,0
"233","AC002128.5",2,0,1,0,0
"234","AC002306.1",2,0,0,0,0
"235","AC002310.10",1,0,1,0,1
"236","AC002310.11",0,0,0,0,0
"237","AC002310.12",3,3,5,1,4
"238","AC002310.13",0,0,0,0,0
"239","AC002310.14",6,3,4,1,1
"240","AC002310.17",1,0,0,0,0
"241","AC002310.7",0,0,0,0,0
"242","AC002314.4",0,0,0,0,0
"243","AC002331.1",1,0,2,0,0
"244","AC002366.1",0,0,0,0,0
"245","AC002366.3",0,0,0,0,0
"246","AC002368.4",0,0,0,0,0
"247","AC002383.2",0,0,0,0,0
"248","AC002386.1",0,0,0,0,0
"249","AC002389.1",0,0,0,0,0
"250","AC002395.1",0,0,0,0,0
"251","AC002398.11",0,0,1,0,0
"252","AC002398.12",0,0,0,0,0
"253","AC002398.13",0,0,1,1,1
"254","AC002398.9",0,0,0,0,0
"255","AC002400.1",1,0,0,0,0
"256","AC002401.1",1,0,2,0,0
"257","AC002429.1",0,0,0,0,0
"258","AC002429.4",0,0,0,0,0
"259","AC002429.5",0,0,0,0,0
"260","AC002451.3",2,0,5,1,2
"261","AC002454.1",0,0,0,0,0
"262","AC002456.2",5,4,1,1,1
"263","AC002463.3",0,0,0,0,0
"264","AC002464.1",0,0,0,0,0
"265","AC002465.2",0,0,0,0,0
"266","AC002467.7",20,18,17,18,12
"267","AC002472.11",0,0,0,0,0
"268","AC002480.2",1,0,0,0,0
"269","AC002480.3",1,0,0,2,0
"270","AC002480.4",0,0,0,0,0
"271","AC002480.5",0,0,0,0,0
"272","AC002486.2",0,0,0,0,0
"273","AC002486.3",0,0,0,0,0
"274","AC002511.2",9,0,7,1,3
"275","AC002511.3",15,5,5,0,4
"276","AC002519.6",0,0,0,0,0
"277","AC002519.8",0,0,0,0,1
"278","AC002523.1",0,0,0,0,0
"279","AC002530.1",0,0,0,0,0
"280","AC002539.1",0,0,0,0,0
"281","AC002539.2",0,0,0,0,0
"282","AC002542.2",0,0,0,0,0
"283","AC002543.2",0,0,2,0,0
"284","AC002550.5",0,0,0,0,0
"285","AC002550.6",2,0,2,0,0
"286","AC002551.1",1,3,0,0,0
"287","AC002553.4",2,0,0,0,0
"288","AC002558.1",0,0,0,0,0
"289","AC002978.1",0,0,0,0,0
"290","AC002979.1",0,0,0,0,0
"291","AC002981.1",0,0,0,0,0
"292","AC002984.2",0,0,1,0,0
"293","AC002985.3",0,0,0,0,0
"294","AC003001.1",0,0,0,0,0
"295","AC003002.4",0,0,0,0,0
"296","AC003002.6",1,0,0,0,0
"297","AC003003.5",0,0,0,0,0
"298","AC003005.2",0,0,0,0,0
"299","AC003005.4",0,0,0,0,0
"300","AC003006.1",0,0,0,0,0
"301","AC003006.7",0,0,0,0,0
"302","AC003009.1",0,0,0,0,0
"303","AC003045.1",0,0,0,0,0
"304","AC003075.4",0,3,0,2,2
"305","AC003080.4",2,0,0,0,0
"306","AC003084.2",0,0,0,0,0
"307","AC003088.1",0,0,0,0,0
"308","AC003090.1",2,2,1,1,2
"309","AC003092.1",0,0,0,0,0
"310","AC003092.2",0,0,0,0,0
"311","AC003101.1",0,0,0,0,0
"312","AC003104.1",11,0,5,1,0
"313","AC003658.1",0,0,0,0,0
"314","AC003664.1",0,0,0,0,0
"315","AC003666.1",0,0,0,0,0
"316","AC003681.1",0,0,0,0,0
"317","AC003682.16",0,0,0,0,0
"318","AC003682.17",0,0,0,0,0
"319","AC003688.1",0,0,0,0,0
"320","AC003956.1",0,1,1,1,0
"321","AC003958.2",0,0,0,0,0
"322","AC003958.6",0,0,0,0,0
"323","AC003968.1",0,0,0,0,0
"324","AC003973.1",0,0,0,0,0
"325","AC003973.3",7,13,12,25,5
"326","AC003973.4",0,0,0,0,0
"327","AC003973.5",0,0,0,0,0
"328","AC003984.1",0,0,0,0,0
"329","AC003985.1",0,0,0,0,0
"330","AC003986.5",0,0,0,0,0
"331","AC003986.6",0,0,0,0,0
"332","AC003986.7",0,0,0,0,0
"333","AC003988.1",0,0,0,0,0
"334","AC003989.3",0,0,0,0,0
"335","AC003989.4",1,0,0,0,0
"336","AC003991.3",11,10,21,4,0
"337","AC004000.1",0,0,0,0,0
"338","AC004000.2",0,0,0,0,0
"339","AC004004.2",0,0,0,0,0
"340","AC004006.2",0,0,0,0,0
"341","AC004009.1",0,0,0,0,0
"342","AC004009.2",0,0,0,0,0
"343","AC004009.3",0,0,0,0,0
"344","AC004012.1",0,0,0,0,0
"345","AC004014.3",0,0,0,0,0
"346","AC004016.1",0,0,0,0,0
"347","AC004019.10",0,0,1,0,0
"348","AC004019.13",0,0,0,0,0
"349","AC004022.7",0,0,0,0,0
"350","AC004022.8",0,0,0,0,0
"351","AC004051.2",0,0,0,0,0
"352","AC004052.1",0,0,0,0,0
"353","AC004053.1",0,0,0,0,0
"354","AC004053.2",0,0,0,0,0
"355","AC004054.1",0,0,0,0,0
"356","AC004057.1",0,0,0,0,0
"357","AC004062.2",0,0,0,0,0
"358","AC004063.1",0,0,0,0,0
"359","AC004066.2",0,0,0,0,0
"360","AC004066.3",0,0,0,0,0
"361","AC004067.5",5,2,4,3,0
"362","AC004069.1",0,0,0,0,0
"363","AC004069.2",15,4,13,4,3
"364","AC004070.1",0,0,0,0,0
"365","AC004074.4",0,0,0,0,0
"366","AC004076.5",6,1,6,2,0
"367","AC004076.7",2,0,0,1,0
"368","AC004076.9",0,0,0,0,0
"369","AC004079.1",0,0,0,0,0
"370","AC004108.1",0,0,0,0,0
"371","AC004112.4",2,0,2,4,0
"372","AC004125.3",0,0,0,0,0
"373","AC004129.7",0,0,0,0,0
"374","AC004129.9",0,0,1,0,0
"375","AC004156.3",0,0,0,0,0
"376","AC004158.1",0,0,0,0,0
"377","AC004158.3",0,0,0,0,0
"378","AC004159.1",0,0,0,0,0
"379","AC004160.4",0,0,0,0,0
"380","AC004221.2",0,0,0,0,0
"381","AC004231.2",3,1,4,0,0
"382","AC004237.1",2,0,1,0,0
"383","AC004257.1",0,0,0,0,0
"384","AC004381.6",11,4,6,4,8
"385","AC004381.7",2,0,0,0,0
"386","AC004383.3",1,1,0,0,0
"387","AC004386.3",0,0,0,0,0
"388","AC004386.4",1,0,0,0,1
"389","AC004448.2",0,0,0,0,0
"390","AC004448.5",0,0,0,0,1
"391","AC004449.6",0,0,0,0,0
"392","AC004453.1",0,0,0,0,0
"393","AC004453.8",28,50,16,43,45
"394","AC004458.1",0,0,0,0,0
"395","AC004460.1",0,0,0,0,0
"396","AC004461.4",0,0,0,0,0
"397","AC004470.1",0,0,0,0,0
"398","AC004471.10",0,3,1,0,0
"399","AC004471.9",3,2,3,1,2
"400","AC004477.1",0,0,0,0,0
"401","AC004485.3",0,0,0,0,0
"402","AC004490.1",1,0,0,0,0
"403","AC004492.1",0,0,0,0,0
"404","AC004510.3",0,1,0,0,0
"405","AC004520.1",0,0,0,0,0
"406","AC004535.2",0,0,0,0,0
"407","AC004538.3",2,0,0,0,0
"408","AC004540.4",1,0,1,0,1
"409","AC004540.5",0,0,0,0,2
"410","AC004541.1",0,0,0,0,0
"411","AC004543.1",0,0,0,0,0
"412","AC004543.2",0,0,0,0,0
"413","AC004549.6",0,0,0,0,0
"414","AC004552.1",0,0,0,0,0
"415","AC004556.1",0,0,4,0,0
"416","AC004556.2",0,0,0,0,0
"417","AC004593.3",0,0,0,0,0
"418","AC004595.1",0,0,0,0,0
"419","AC004603.4",0,0,0,0,0
"420","AC004623.2",0,0,0,0,0
"421","AC004623.3",0,0,0,2,0
"422","AC004637.1",0,0,0,0,0
"423","AC004655.1",0,0,0,0,0
"424","AC004656.1",0,0,0,0,0
"425","AC004673.1",0,0,0,0,0
"426","AC004691.1",0,0,0,0,0
"427","AC004691.5",0,0,0,0,0
"428","AC004692.4",0,0,0,0,0
"429","AC004692.5",0,0,0,0,0
"430","AC004699.1",0,0,0,0,0
"431","AC004702.2",0,0,0,0,0
"432","AC004744.3",0,0,0,0,0
"433","AC004745.1",0,0,0,0,0
"434","AC004754.3",0,0,0,0,0
"435","AC004769.1",0,0,0,0,0
"436","AC004775.5",0,0,0,0,0
"437","AC004791.2",2,7,2,0,7
"438","AC004812.1",0,0,0,0,0
"439","AC004813.1",0,0,0,0,0
"440","AC004816.1",0,0,0,0,0
"441","AC004819.1",0,0,0,0,0
"442","AC004824.1",0,0,0,0,0
"443","AC004824.2",0,0,0,0,0
"444","AC004832.1",0,0,0,0,0
"445","AC004837.1",0,0,0,0,0
"446","AC004837.3",0,0,0,0,0
"447","AC004837.4",0,0,0,0,0
"448","AC004837.5",1,0,1,0,0
"449","AC004840.8",0,0,0,0,0
"450","AC004846.1",0,1,0,1,0
"451","AC004850.1",0,0,0,0,0
"452","AC004853.1",0,0,0,0,0
"453","AC004854.4",1,0,0,0,0
"454","AC004854.5",0,0,0,1,0
"455","AC004862.6",0,0,0,0,0
"456","AC004866.1",0,0,0,0,0
"457","AC004866.3",0,0,0,0,0
"458","AC004869.2",0,0,0,0,0
"459","AC004869.3",0,0,0,0,0
"460","AC004870.3",0,0,0,0,0
"461","AC004870.4",0,0,0,0,0
"462","AC004870.5",0,0,0,0,0
"463","AC004875.1",0,0,0,0,0
"464","AC004878.2",0,0,0,0,0
"465","AC004878.8",0,0,0,0,0
"466","AC004893.10",2,0,0,0,0
"467","AC004893.11",45,21,33,36,14
"468","AC004895.1",0,0,0,0,0
"469","AC004895.4",1,0,1,0,0
"470","AC004899.3",0,0,0,0,0
"471","AC004901.1",0,0,0,0,0
"472","AC004906.3",1,0,0,4,0
"473","AC004911.2",0,0,0,0,0
"474","AC004915.1",0,0,0,0,0
"475","AC004920.2",0,0,0,0,0
"476","AC004920.3",0,0,0,0,0
"477","AC004924.1",0,0,0,0,0
"478","AC004932.1",0,1,0,0,0
"479","AC004938.5",0,0,0,0,0
"480","AC004941.3",0,0,0,0,0
"481","AC004941.5",0,0,0,0,0
"482","AC004943.1",0,0,0,0,0
"483","AC004945.1",0,0,0,0,0
"484","AC004946.1",0,0,0,0,0
"485","AC004947.2",0,0,0,0,0
"486","AC004951.5",2,2,3,1,1
"487","AC004951.6",0,0,0,0,0
"488","AC004953.1",0,0,0,0,0
"489","AC004967.7",17,11,7,19,13
"490","AC004969.1",0,0,0,0,0
"491","AC004980.1",0,0,0,0,0
"492","AC004980.10",0,0,0,0,0
"493","AC004980.7",6,5,3,4,6
"494","AC004980.8",0,0,0,0,0
"495","AC004980.9",0,0,0,0,0
"496","AC004984.1",0,0,0,0,0
"497","AC004985.12",0,0,1,0,1
"498","AC004987.10",0,0,0,0,0
"499","AC004987.9",3,0,10,1,1
"500","AC004988.1",0,0,0,0,0
"501","AC005000.1",0,0,0,0,0
"502","AC005008.2",0,0,0,0,0
"503","AC005008.3",0,0,0,0,0
"504","AC005009.1",0,0,0,0,0
"505","AC005009.2",0,0,0,0,0
"506","AC005013.5",0,0,0,0,0
"507","AC005014.5",1,0,0,0,0
"508","AC005017.2",0,0,0,0,0
"509","AC005019.2",1,0,1,0,2
"510","AC005019.3",0,0,0,0,0
"511","AC005020.1",0,0,0,0,0
"512","AC005024.1",0,0,0,0,0
"513","AC005027.3",0,0,0,0,0
"514","AC005033.6",0,0,0,0,0
"515","AC005034.2",0,0,0,0,0
"516","AC005037.1",0,0,0,0,0
"517","AC005037.3",0,0,0,0,0
"518","AC005040.3",0,0,0,0,0
"519","AC005041.11",0,0,0,0,0
"520","AC005042.1",0,0,0,0,0
"521","AC005042.2",0,1,0,0,1
"522","AC005042.3",0,0,0,0,0
"523","AC005042.4",0,0,0,0,0
"524","AC005042.5",0,0,0,0,0
"525","AC005048.1",0,0,0,0,0
"526","AC005052.1",2,0,0,0,0
"527","AC005062.2",0,1,0,0,0
"528","AC005071.1",0,1,1,0,0
"529","AC005071.2",2,1,0,0,0
"530","AC005071.3",2,1,0,0,0
"531","AC005071.4",0,0,0,0,0
"532","AC005076.5",1,2,2,3,3
"533","AC005077.14",0,0,0,1,0
"534","AC005077.5",0,0,0,0,0
"535","AC005077.7",0,0,0,0,0
"536","AC005077.8",0,0,0,0,0
"537","AC005077.9",0,0,0,0,0
"538","AC005082.1",0,0,0,0,0
"539","AC005082.12",5,5,2,2,5
"540","AC005083.1",1,1,2,1,2
"541","AC005086.1",0,0,1,0,0
"542","AC005086.2",1,0,0,0,0
"543","AC005086.3",0,0,1,0,0
"544","AC005088.1",0,0,0,0,0
"545","AC005094.2",0,0,0,0,0
"546","AC005102.1",0,0,0,0,0
"547","AC005104.3",5,1,2,3,3
"548","AC005105.2",0,0,0,0,0
"549","AC005150.1",0,0,0,0,0
"550","AC005150.2",0,0,0,0,0
"551","AC005150.3",0,0,0,0,0
"552","AC005152.3",0,0,0,0,0
"553","AC005154.6",617,329,445,169,109
"554","AC005154.7",24,8,15,15,5
"555","AC005154.8",4,1,1,3,2
"556","AC005158.1",0,0,0,0,0
"557","AC005159.1",0,0,0,0,0
"558","AC005160.3",0,0,0,0,0
"559","AC005162.4",0,0,0,1,0
"560","AC005162.5",1,0,0,0,0
"561","AC005176.1",0,0,0,0,0
"562","AC005176.2",0,0,0,0,0
"563","AC005176.3",0,0,0,0,0
"564","AC005178.1",0,0,0,0,0
"565","AC005187.1",0,0,0,0,0
"566","AC005189.6",0,0,1,0,0
"567","AC005197.2",0,0,0,0,0
"568","AC005204.1",0,0,0,0,0
"569","AC005215.1",0,0,0,0,0
"570","AC005220.3",1,0,1,0,1
"571","AC005224.2",4,2,4,0,2
"572","AC005227.1",0,0,0,0,0
"573","AC005229.1",2,2,2,1,0
"574","AC005229.5",0,2,0,0,0
"575","AC005229.7",0,0,0,0,0
"576","AC005235.1",0,0,0,0,0
"577","AC005237.2",0,0,0,0,0
"578","AC005237.4",0,0,0,0,0
"579","AC005251.3",0,1,1,0,1
"580","AC005253.2",24,9,18,8,3
"581","AC005253.4",0,0,0,0,0
"582","AC005255.3",14,2,10,0,5
"583","AC005255.5",0,0,0,0,0
"584","AC005255.6",0,0,0,0,0
"585","AC005256.1",0,0,0,0,1
"586","AC005262.2",0,0,0,0,0
"587","AC005262.3",0,0,0,0,0
"588","AC005262.4",0,0,0,0,0
"589","AC005264.2",4,1,0,3,0
"590","AC005276.1",0,0,0,0,0
"591","AC005281.1",0,0,0,0,0
"592","AC005281.2",0,0,0,0,0
"593","AC005284.1",0,0,0,0,0
"594","AC005284.2",0,0,0,0,0
"595","AC005288.1",0,0,0,0,0
"596","AC005300.5",0,0,0,0,0
"597","AC005301.8",0,0,0,0,0
"598","AC005304.1",0,0,0,0,0
"599","AC005306.3",1,0,2,0,0
"600","AC005307.1",0,0,0,0,0
"601","AC005307.3",7,2,0,3,7
"602","AC005324.6",0,0,0,0,0
"603","AC005324.7",0,0,0,0,0
"604","AC005329.7",2,0,0,1,0
"605","AC005330.2",0,0,0,0,0
"606","AC005336.4",0,0,0,0,0
"607","AC005336.5",0,0,0,0,0
"608","AC005339.1",0,0,0,0,0
"609","AC005339.2",0,0,0,0,0
"610","AC005351.1",0,0,0,0,0
"611","AC005355.1",0,0,0,0,0
"612","AC005355.2",0,0,0,0,0
"613","AC005355.3",0,1,0,0,0
"614","AC005357.1",0,0,0,0,0
"615","AC005358.3",0,0,0,0,0
"616","AC005363.11",0,1,0,0,0
"617","AC005363.9",0,0,0,0,0
"618","AC005371.1",0,0,0,0,0
"619","AC005375.1",0,0,0,0,0
"620","AC005387.2",6,2,1,8,3
"621","AC005387.3",3,6,5,0,3
"622","AC005391.2",1,0,0,0,0
"623","AC005392.13",0,0,0,0,0
"624","AC005394.1",0,0,0,0,0
"625","AC005412.1",0,0,0,0,0
"626","AC005477.1",0,0,0,0,2
"627","AC005480.1",0,0,2,1,0
"628","AC005481.5",1,2,0,2,0
"629","AC005487.2",0,0,0,0,0
"630","AC005488.11",0,0,0,0,0
"631","AC005498.1",0,0,0,0,0
"632","AC005498.3",1,0,0,1,1
"633","AC005498.4",0,0,0,0,0
"634","AC005513.1",0,0,0,0,0
"635","AC005514.2",0,0,0,0,0
"636","AC005517.3",6,1,2,4,1
"637","AC005518.2",0,0,0,0,0
"638","AC005519.4",11,6,8,6,6
"639","AC005522.6",0,0,0,0,0
"640","AC005522.7",0,0,0,0,0
"641","AC005523.2",0,0,0,0,0
"642","AC005523.3",0,1,0,0,0
"643","AC005532.5",0,0,1,0,1
"644","AC005534.6",0,3,0,1,0
"645","AC005534.8",0,0,1,1,0
"646","AC005537.2",0,0,0,1,0
"647","AC005538.1",0,0,0,0,0
"648","AC005538.3",0,0,0,0,0
"649","AC005538.5",0,0,0,0,0
"650","AC005539.2",0,0,0,0,0
"651","AC005540.1",0,0,0,0,0
"652","AC005540.3",1,0,0,0,0
"653","AC005546.2",0,0,0,0,0
"654","AC005549.1",0,0,1,0,0
"655","AC005549.2",0,0,0,0,0
"656","AC005550.3",0,0,0,0,0
"657","AC005550.5",0,0,0,0,0
"658","AC005559.3",0,0,0,0,0
"659","AC005562.1",3,2,0,0,1
"660","AC005562.2",0,0,0,0,0
"661","AC005578.3",0,0,0,0,0
"662","AC005588.2",0,0,0,0,0
"663","AC005592.1",0,0,0,0,0
"664","AC005592.2",0,0,0,0,0
"665","AC005592.3",0,0,0,0,0
"666","AC005593.2",0,0,0,0,0
"667","AC005597.1",0,0,0,0,0
"668","AC005599.1",0,0,0,0,0
"669","AC005606.14",0,0,0,0,0
"670","AC005606.15",0,0,0,0,0
"671","AC005609.16",0,0,0,0,0
"672","AC005609.17",0,0,0,0,0
"673","AC005609.18",0,0,0,0,0
"674","AC005609.19",0,0,0,0,0
"675","AC005609.2",0,0,0,0,0
"676","AC005609.20",0,0,0,0,0
"677","AC005614.3",0,2,0,0,0
"678","AC005614.5",0,0,0,0,0
"679","AC005616.1",0,0,0,0,0
"680","AC005616.2",0,0,0,0,0
"681","AC005618.6",1,0,1,0,0
"682","AC005618.8",0,0,0,0,0
"683","AC005618.9",0,0,0,0,0
"684","AC005621.1",0,0,0,0,0
"685","AC005624.2",0,0,2,0,0
"686","AC005625.1",0,0,1,0,0
"687","AC005626.3",0,0,0,0,0
"688","AC005631.1",0,0,0,0,0
"689","AC005668.1",0,0,0,0,0
"690","AC005682.5",5,5,10,6,7
"691","AC005682.6",5,7,1,3,2
"692","AC005686.1",0,0,0,0,0
"693","AC005701.1",0,0,0,0,0
"694","AC005702.1",1,1,1,3,0
"695","AC005702.2",0,0,0,0,0
"696","AC005702.3",0,1,0,0,0
"697","AC005702.4",0,1,0,1,0
"698","AC005703.2",0,0,0,0,0
"699","AC005703.3",0,0,0,0,0
