"","Gene","SLE004","SLE005","SLE006","SLE007","SLE008"
"27600","NUDT12",18,8,5,9,4
"27601","NUDT13",23,10,11,6,3
"27602","NUDT14",41,46,34,22,41
"27603","NUDT15",52,20,52,28,21
"27604","NUDT16",593,318,414,367,277
"27605","NUDT16L1",168,205,142,142,173
"27606","NUDT16P1",87,32,84,47,35
"27607","NUDT17",9,14,11,7,11
"27608","NUDT18",90,81,73,52,76
"27609","NUDT19",81,42,63,41,38
"27610","NUDT19P3",0,0,0,0,0
"27611","NUDT19P4",0,0,0,0,0
"27612","NUDT19P5",1,0,0,0,0
"27613","NUDT2",115,41,86,36,60
"27614","NUDT21",617,412,477,345,229
"27615","NUDT22",117,130,110,106,96
"27616","NUDT3",199,119,198,162,91
"27617","NUDT4",94,41,83,42,57
"27618","NUDT4P1",0,0,0,0,0
"27619","NUDT4P2",0,0,0,0,0
"27620","NUDT5",444,256,385,247,173
"27621","NUDT6",5,4,10,7,5
"27622","NUDT7",7,7,10,3,1
"27623","NUDT8",4,6,6,5,10
"27624","NUDT9",67,57,71,49,68
"27625","NUF2",11,2,16,8,2
"27626","NUFIP1",18,12,27,11,12
"27627","NUFIP1P",1,0,0,0,0
"27628","NUFIP2",1686,836,1290,912,432
"27629","NUGGC",32,33,32,16,10
"27630","NUMA1",1046,873,650,894,563
"27631","NUMB",2414,1377,1742,1287,779
"27632","NUMBL",46,20,63,35,12
"27633","NUP107",271,133,201,127,104
"27634","NUP133",329,175,267,196,130
"27635","NUP153",706,476,625,394,208
"27636","NUP155",194,82,138,79,45
"27637","NUP160",408,257,267,268,118
"27638","NUP188",356,263,234,263,196
"27639","NUP205",458,244,360,252,168
"27640","NUP210",1614,1233,1417,1409,829
"27641","NUP210L",1,0,0,1,1
"27642","NUP210P1",0,0,0,0,0
"27643","NUP210P2",0,0,0,0,0
"27644","NUP210P3",0,0,0,0,0
"27645","NUP214",837,719,766,588,457
"27646","NUP35",26,22,33,17,17
"27647","NUP37",85,41,47,26,34
"27648","NUP43",221,81,139,113,72
"27649","NUP50",681,548,763,434,311
"27650","NUP50-AS1",82,103,109,31,61
"27651","NUP54",177,104,132,82,82
"27652","NUP58",406,236,368,198,113
"27653","NUP58P1",0,0,0,0,0
"27654","NUP62",409,296,338,266,330
"27655","NUP62CL",1,2,0,2,1
"27656","NUP85",307,172,232,157,129
"27657","NUP88",293,143,184,172,138
"27658","NUP93",292,140,239,154,149
"27659","NUP98",1088,729,954,657,394
"27660","NUPL2",159,89,127,95,59
"27661","NUPR1",1,0,1,1,0
"27662","NUPR2",0,1,0,1,0
"27663","NUS1",104,53,118,54,33
"27664","NUS1P1",1,1,0,1,0
"27665","NUS1P2",0,0,0,0,0
"27666","NUS1P3",0,0,0,0,0
"27667","NUS1P4",0,1,0,0,0
"27668","NUSAP1",47,19,53,36,19
"27669","NUTF2",162,150,143,125,138
"27670","NUTF2P2",0,0,0,0,0
"27671","NUTF2P3",0,0,0,0,0
"27672","NUTF2P4",0,0,0,0,0
"27673","NUTF2P5",0,0,0,0,0
"27674","NUTF2P6",0,0,0,0,0
"27675","NUTF2P7",0,0,0,0,0
"27676","NUTF2P8",0,0,0,0,0
"27677","NUTM1",1,1,0,0,0
"27678","NUTM2A",0,2,0,0,2
"27679","NUTM2A-AS1",39,37,63,32,34
"27680","NUTM2B",0,0,0,0,0
"27681","NUTM2B-AS1",47,32,56,27,10
"27682","NUTM2D",4,4,3,0,2
"27683","NUTM2E",1,0,0,2,0
"27684","NUTM2F",1,0,0,0,0
"27685","NUTM2G",7,0,0,1,1
"27686","NUTM2HP",1,0,0,2,0
"27687","NVL",121,77,111,66,57
"27688","NWD1",0,0,1,0,0
"27689","NWD2",0,0,0,0,0
"27690","NXF1",1036,678,812,570,505
"27691","NXF2",0,0,0,0,0
"27692","NXF2B",0,0,0,0,0
"27693","NXF3",0,0,2,0,1
"27694","NXF4",0,0,0,0,0
"27695","NXF5",0,0,0,0,0
"27696","NXN",6,9,3,5,7
"27697","NXNL1",0,0,0,0,0
"27698","NXNL2",0,0,0,0,0
"27699","NXNP1",0,0,0,0,0
"27700","NXPE1",0,0,0,0,1
"27701","NXPE2",0,0,0,0,0
"27702","NXPE2P1",0,0,0,0,0
"27703","NXPE3",287,178,292,247,171
"27704","NXPE4",0,0,0,0,0
"27705","NXPH1",0,0,0,0,0
"27706","NXPH2",0,0,0,0,0
"27707","NXPH3",0,2,0,0,0
"27708","NXPH4",5,3,0,2,4
"27709","NXT1",53,58,32,40,38
"27710","NXT1P1",0,0,0,0,0
"27711","NXT2",102,61,82,53,42
"27712","NYAP1",4,10,1,0,4
"27713","NYAP2",0,0,0,0,0
"27714","NYNRIN",1,4,5,6,0
"27715","NYX",0,0,0,0,0
"27716","Nkx2-2as",0,0,0,0,0
"27717","OACYLP",0,0,0,0,0
"27718","OAF",110,59,91,55,76
"27719","OARD1",171,85,115,90,68
"27720","OAS1",3636,416,1217,290,433
"27721","OAS2",6015,774,1963,577,550
"27722","OAS3",7351,881,1771,602,514
"27723","OASL",1895,379,776,199,235
"27724","OAT",221,145,259,196,108
"27725","OAZ1",8368,6869,12813,6587,8092
"27726","OAZ2",1866,1269,1413,1041,718
"27727","OAZ3",8,2,5,5,4
"27728","OBFC1",245,127,205,133,146
"27729","OBP2A",0,0,0,0,0
"27730","OBP2B",0,0,0,0,0
"27731","OBSCN",184,218,75,284,77
"27732","OBSL1",3,4,1,1,15
"27733","OC90",0,0,0,0,0
"27734","OCA2",0,0,1,1,0
"27735","OCEL1",73,66,80,68,66
"27736","OCIAD1",646,347,515,266,212
"27737","OCIAD1-AS1",0,0,0,0,1
"27738","OCIAD2",131,96,81,81,94
"27739","OCLM",6,0,1,1,0
"27740","OCLN",1,2,0,0,1
"27741","OCM",0,0,0,2,4
"27742","OCM2",0,0,0,0,0
"27743","OCRL",57,36,40,28,29
"27744","OCSTAMP",0,0,0,0,0
"27745","ODAM",0,0,0,0,0
"27746","ODC1",455,387,545,446,611
"27747","ODCP",5,0,2,0,1
"27748","ODF1",0,0,0,0,0
"27749","ODF2",243,175,184,153,142
"27750","ODF2-AS1",0,0,0,0,0
"27751","ODF2L",227,126,115,88,55
"27752","ODF3",0,0,0,0,0
"27753","ODF3B",669,389,379,311,595
"27754","ODF3L1",0,0,0,0,0
"27755","ODF3L2",0,0,0,0,0
"27756","ODF4",0,0,0,0,0
"27757","OFCC1",0,0,0,0,0
"27758","OFD1",425,251,242,236,114
"27759","OFD1P10Y",0,0,0,0,0
"27760","OFD1P11Y",0,0,0,0,0
"27761","OFD1P12Y",0,0,0,0,0
"27762","OFD1P13Y",0,0,0,0,0
"27763","OFD1P15Y",0,0,0,0,0
"27764","OFD1P16Y",0,0,0,0,0
"27765","OFD1P17",0,0,0,0,0
"27766","OFD1P18Y",0,0,0,0,0
"27767","OFD1P1Y",0,0,0,0,0
"27768","OFD1P2Y",0,0,0,0,0
"27769","OFD1P3Y",0,0,0,0,0
"27770","OFD1P4Y",0,0,0,0,0
"27771","OFD1P5Y",0,0,0,0,0
"27772","OFD1P6Y",0,0,0,0,0
"27773","OFD1P7Y",0,0,0,0,0
"27774","OFD1P8Y",0,0,0,0,0
"27775","OFD1P9Y",0,0,0,0,0
"27776","OGDH",990,760,809,707,605
"27777","OGDHL",0,0,0,2,1
"27778","OGFOD1",152,96,137,99,69
"27779","OGFOD1P1",0,0,0,0,0
"27780","OGFOD2",11,11,2,4,11
"27781","OGFOD3",84,77,91,68,69
"27782","OGFR",991,886,805,646,734
"27783","OGFR-AS1",1,1,0,3,0
"27784","OGFRL1",3201,1268,1873,1299,538
"27785","OGFRP1",1,1,1,1,2
"27786","OGG1",158,117,128,119,88
